side,layer_index,layer_label,pattern_index,location,sampled_from,convexhull_area,pattern_area,pattern_resistance
front,0,Layer 1 (start),0,normal,layer[0],32.9894557827717,3.6881233094624903,0.013472382860871428
front,0,Layer 1 (start),52,normal,layer[-2],34.51033503504459,3.6975286138828114,0.012864444427817489
front,0,Layer 1 (start),53,end,layer[-1],34.51033503504459,3.58979737015966,0.013481833634329579
front,1,Layer 2 (normal),0,start,layer[0],33.75279797340227,3.6895483491359666,0.012478133473270791
front,1,Layer 2 (normal),52,normal,layer[-2],33.75279797340227,3.5815108828269953,0.013187957395907928
front,1,Layer 2 (normal),53,end,layer[-1],33.75279797340227,3.4740191320951848,0.013857843269638773
front,2,Layer 3 (normal),0,start,layer[0],32.960313779665285,3.576624530086164,0.012755088041028047
front,2,Layer 3 (normal),52,normal,layer[-2],32.960313779665285,3.4688267446516203,0.01351457889177485
front,2,Layer 3 (normal),53,end,layer[-1],32.960313779665285,3.3676571826847077,0.014193629210841642
front,3,Layer 4 (end),0,start,layer[0],32.17783342170196,3.459040834971259,0.013085053453228298
front,3,Layer 4 (end),52,normal,layer[-2],32.17783342170196,3.35757904363033,0.01386003230874248
front,3,Layer 4 (end),53,normal,layer[-1],32.17783342170196,3.35757904363033,0.01386003230874248
back,0,Layer 1 (start),9,normal,layer[0],34.51033503504459,3.6975286138828114,0.012864444427817489
back,0,Layer 1 (start),52,normal,layer[-2],34.51033503504459,3.6975286138828114,0.012864444427817489
back,0,Layer 1 (start),53,end,layer[-1],34.51033503504459,3.58979737015966,0.013481833634329579
back,1,Layer 2 (normal),0,start,layer[0],33.75279797340227,3.6895483491359666,0.012478133473270791
back,1,Layer 2 (normal),52,normal,layer[-2],33.75279797340227,3.5815108828269953,0.013187957395907928
back,1,Layer 2 (normal),53,end,layer[-1],33.75279797340227,3.4740191320951848,0.013857843269638773
back,2,Layer 3 (normal),0,start,layer[0],32.960313779665285,3.576624530086164,0.012755088041028047
back,2,Layer 3 (normal),52,normal,layer[-2],32.960313779665285,3.4688267446516203,0.01351457889177485
back,2,Layer 3 (normal),53,end,layer[-1],32.960313779665285,3.3676571826847077,0.014193629210841642
back,3,Layer 4 (end),0,start,layer[0],32.17783342170196,3.459040834971259,0.013085053453228298
back,3,Layer 4 (end),61,normal,layer[-2],32.17769209159428,3.357579043630272,0.013875018380617884
back,3,Layer 4 (end),62,normal,layer[-1],32.17769209159428,3.357579043630272,0.013875018380617884
